Date,44T
1/1/2016,45
2/1/2016,38
3/1/2016,55
4/1/2016,50
5/1/2016,41
6/1/2016,34
7/1/2016,35
8/1/2016,38
9/1/2016,40
10/1/2016,38
11/1/2016,40
12/1/2016,43
13/1/2016,35
14/1/2016,24
15/1/2016,25
16/1/2016,26
17/1/2016,29
18/1/2016,30
19/1/2016,26
20/1/2016,27
21/1/2016,30
22/1/2016,26
23/1/2016,35
24/1/2016,38
25/1/2016,33
26/1/2016,33
27/1/2016,24
28/1/2016,34
29/1/2016,30
30/1/2016,34
31/1/2016,40
1/2/2016,37
2/2/2016,39
3/2/2016,35
4/2/2016,37
5/2/2016,31
6/2/2016,40
7/2/2016,64
8/2/2016,78
9/2/2016,56
10/2/2016,50
11/2/2016,37
12/2/2016,33
13/2/2016,29
14/2/2016,32
15/2/2016,
16/2/2016,31
17/2/2016,57
18/2/2016,
19/2/2016,42
20/2/2016,54
21/2/2016,50
22/2/2016,45
23/2/2016,52
24/2/2016,51
25/2/2016,51
26/2/2016,48
27/2/2016,40
28/2/2016,42
29/2/2016,
1/3/2016,53
2/3/2016,50
3/3/2016,51
4/3/2016,
5/3/2016,44
6/3/2016,42
7/3/2016,40
8/3/2016,37
9/3/2016,44
10/3/2016,42
11/3/2016,47
12/3/2016,29
13/3/2016,32
14/3/2016,36
15/3/2016,38
16/3/2016,39
17/3/2016,43
18/3/2016,48
19/3/2016,49
20/3/2016,42
21/3/2016,46
22/3/2016,45
23/3/2016,57
24/3/2016,60
25/3/2016,45
26/3/2016,40
27/3/2016,41
28/3/2016,49
29/3/2016,64
30/3/2016,67
31/3/2016,64
1/4/2016,47
2/4/2016,38
3/4/2016,35
4/4/2016,39
5/4/2016,44
6/4/2016,34
7/4/2016,41
8/4/2016,46
9/4/2016,43
10/4/2016,39
11/4/2016,45
12/4/2016,52
13/4/2016,54
14/4/2016,45
15/4/2016,58
16/4/2016,61
17/4/2016,66
18/4/2016,57
19/4/2016,34
20/4/2016,33
21/4/2016,40
