Date,05T,59T,61T ,52T ,54T ,08T ,24T ,26T ,27T ,30T ,32T,35T,36T ,40T,46T,44T ,75T,76T,77T 
2016-01-01 00:00:00,,17.0,28.0,,,,,37.0,30.0,21.0,15.0,,25.0,,18.0,,8.0,,
2016-01-02 00:00:00,,22.0,,,33.0,,,45.0,44.0,28.0,19.0,,25.0,13.0,24.0,,8.0,,
2016-01-03 00:00:00,,28.0,,,50.0,,,64.0,56.0,47.0,31.0,,27.0,20.0,40.0,,11.0,,
2016-01-04 00:00:00,,42.0,,,69.0,,,77.0,84.0,68.0,55.0,,26.0,27.0,53.0,,15.0,,
2016-01-05 00:00:00,,35.0,57.0,,58.0,,,56.0,56.0,65.0,48.0,,27.0,29.0,59.0,,16.0,,
2016-01-06 00:00:00,,31.0,61.0,,56.0,,,64.0,49.0,50.0,37.0,,38.0,32.0,63.0,,16.0,,
2016-01-07 00:00:00,,32.0,62.0,,58.0,,,63.0,47.0,54.0,42.0,,45.0,36.0,64.0,,18.0,,
2016-01-08 00:00:00,,31.0,58.0,,53.0,,,58.0,37.0,37.0,31.0,,45.0,34.0,52.0,,18.0,,
2016-01-09 00:00:00,,16.0,34.0,,46.0,,,22.0,13.0,24.0,19.0,,37.0,41.0,51.0,,24.0,,
2016-01-10 00:00:00,,18.0,23.0,,,,,22.0,17.0,14.0,16.0,,30.0,32.0,48.0,,24.0,,
2016-01-11 00:00:00,,22.0,35.0,,,,,35.0,33.0,17.0,22.0,,40.0,47.0,47.0,20.0,17.0,,
2016-01-12 00:00:00,,24.0,41.0,,,,,47.0,37.0,29.0,19.0,,44.0,38.0,50.0,,19.0,,
2016-01-13 00:00:00,,20.0,35.0,,,,,35.0,16.0,30.0,22.0,,48.0,39.0,40.0,,20.0,,
2016-01-14 00:00:00,,25.0,31.0,,,,,31.0,22.0,27.0,21.0,,44.0,45.0,35.0,,24.0,,
2016-01-15 00:00:00,,8.0,18.0,,,,,21.0,10.0,22.0,15.0,,30.0,23.0,43.0,,21.0,,
2016-01-16 00:00:00,,11.0,18.0,,31.0,,,20.0,15.0,17.0,15.0,,27.0,35.0,37.0,,11.0,,
2016-01-17 00:00:00,,8.0,16.0,,34.0,,,30.0,13.0,14.0,10.0,,35.0,51.0,36.0,13.0,14.0,,
2016-01-18 00:00:00,,14.0,21.0,,35.0,,,32.0,14.0,9.0,12.0,,42.0,66.0,65.0,12.0,21.0,,
2016-01-19 00:00:00,,11.0,18.0,,34.0,,,26.0,10.0,17.0,14.0,,56.0,71.0,31.0,9.0,26.0,,
2016-01-20 00:00:00,,13.0,20.0,,36.0,,,16.0,13.0,22.0,21.0,,58.0,56.0,28.0,8.0,28.0,,
2016-01-21 00:00:00,,14.0,30.0,,37.0,,,24.0,19.0,26.0,22.0,,67.0,33.0,45.0,7.0,21.0,,
2016-01-22 00:00:00,,18.0,29.0,,43.0,,,30.0,18.0,32.0,21.0,,,21.0,42.0,11.0,,,
2016-01-23 00:00:00,,19.0,32.0,,50.0,,,32.0,19.0,34.0,21.0,,19.0,23.0,38.0,14.0,,,
2016-01-24 00:00:00,,23.0,28.0,,32.0,,,37.0,28.0,23.0,23.0,,,27.0,17.0,18.0,,,
2016-01-25 00:00:00,,20.0,30.0,,38.0,,,22.0,25.0,18.0,20.0,,6.0,6.0,25.0,,,,
2016-01-26 00:00:00,,31.0,44.0,,52.0,,,38.0,39.0,38.0,38.0,,6.0,8.0,36.0,,,,
2016-01-27 00:00:00,,27.0,44.0,,56.0,,,45.0,43.0,59.0,47.0,,13.0,9.0,30.0,25.0,6.0,,
2016-01-28 00:00:00,,34.0,59.0,,57.0,,,58.0,86.0,71.0,58.0,,27.0,22.0,38.0,,12.0,,
2016-01-29 00:00:00,,39.0,70.0,,,,,78.0,97.0,77.0,67.0,,33.0,21.0,49.0,,15.0,,
2016-01-30 00:00:00,,23.0,56.0,,53.0,,,50.0,34.0,66.0,45.0,,32.0,22.0,73.0,,16.0,,
2016-01-31 00:00:00,,13.0,22.0,,34.0,,,24.0,22.0,22.0,17.0,,31.0,28.0,58.0,19.0,18.0,,
2016-02-01 00:00:00,,17.0,28.0,,40.0,,,40.0,21.0,22.0,16.0,,25.0,41.0,59.0,19.0,21.0,,
2016-02-02 00:00:00,,22.0,35.0,,37.0,,,82.0,54.0,48.0,32.0,,31.0,46.0,25.0,22.0,23.0,,
2016-02-03 00:00:00,,24.0,42.0,,40.0,,,71.0,59.0,42.0,28.0,,34.0,42.0,37.0,14.0,25.0,,
2016-02-04 00:00:00,,36.0,56.0,,54.0,,,83.0,99.0,50.0,41.0,,42.0,44.0,53.0,13.0,27.0,,
2016-02-05 00:00:00,,34.0,57.0,,63.0,,,83.0,98.0,54.0,36.0,,45.0,52.0,39.0,16.0,27.0,,
2016-02-06 00:00:00,,27.0,39.0,,47.0,,,67.0,48.0,31.0,25.0,,47.0,33.0,32.0,17.0,18.0,,
2016-02-07 00:00:00,,37.0,52.0,,49.0,,,49.0,57.0,35.0,39.0,,32.0,32.0,58.0,32.0,35.0,,
2016-02-08 00:00:00,,50.0,70.0,,62.0,,,65.0,77.0,58.0,51.0,,60.0,47.0,64.0,44.0,28.0,,
2016-02-09 00:00:00,,,85.0,,83.0,,,93.0,107.0,69.0,57.0,,66.0,68.0,73.0,34.0,24.0,,
2016-02-10 00:00:00,,63.0,95.0,,103.0,,,132.0,113.0,82.0,85.0,,86.0,83.0,83.0,35.0,36.0,,
2016-02-11 00:00:00,,37.0,70.0,,76.0,,,136.0,78.0,62.0,50.0,,93.0,100.0,112.0,28.0,53.0,,
