Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,24T,26T,27T,30T,32T,35T,36T,40T,44T,46T,62T,63T,75T,76T,77T,79T,80T
2017-01-01 00:00:00,33,21.0,28.0,,34.0,,,28.0,,17.0,24.0,27.0,17.0,21.0,30.0,,21.0,7.0,,,,16.0,20.0,18.0,,
2017-01-02 00:00:00,28,19.0,27.0,,32.0,,,26.0,,17.0,25.0,25.0,21.0,24.0,,,11.0,9.0,,,,5.0,18.0,15.0,,
2017-01-03 00:00:00,31,19.0,32.0,,34.0,,,28.0,,22.0,28.0,36.0,15.0,19.0,,13.0,12.0,6.0,,,,4.0,21.0,19.0,,
2017-01-04 00:00:00,37,21.0,34.0,,37.0,,,28.0,,32.0,35.0,49.0,22.0,24.0,19.0,,10.0,5.0,37.0,,,2.0,18.0,21.0,,
2017-01-05 00:00:00,45,29.0,40.0,,45.0,,,34.0,,34.0,39.0,48.0,23.0,24.0,,,7.0,7.0,42.0,,,,12.0,29.0,,
2017-01-06 00:00:00,43,27.0,38.0,,44.0,,,36.0,,31.0,31.0,38.0,,34.0,,13.0,7.0,5.0,37.0,,,5.0,10.0,20.0,,
2017-01-07 00:00:00,46,30.0,42.0,,52.0,,,41.0,,57.0,36.0,50.0,,42.0,22.0,15.0,10.0,,50.0,,,6.0,16.0,33.0,,
2017-01-08 00:00:00,43,35.0,43.0,,49.0,,,39.0,,59.0,40.0,51.0,,27.0,28.0,23.0,12.0,6.0,,,,6.0,29.0,25.0,,
2017-01-09 00:00:00,35,27.0,33.0,,39.0,,,30.0,,71.0,33.0,58.0,,20.0,28.0,,16.0,10.0,,,,6.0,24.0,30.0,,
2017-01-10 00:00:00,36,38.0,41.0,,51.0,,,45.0,,79.0,14.0,30.0,,,,20.0,12.0,12.0,,,,5.0,17.0,34.0,,
2017-01-11 00:00:00,25,17.0,24.0,,29.0,,,26.0,,70.0,10.0,17.0,,20.0,,12.0,6.0,10.0,40.0,,,,12.0,18.0,,
2017-01-12 00:00:00,19,17.0,22.0,,19.0,,,19.0,,47.0,9.0,8.0,13.0,13.0,18.0,12.0,10.0,12.0,57.0,,,,12.0,22.0,,
2017-01-13 00:00:00,29,20.0,30.0,,27.0,,,25.0,,59.0,12.0,13.0,21.0,14.0,21.0,14.0,14.0,14.0,45.0,,,6.0,24.0,30.0,,
