Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,21T,24T,25T,26T,27T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,44T,46T,62T,63T,57T,58T,67T,68T,69T,70T,71T,72T,73T,75T,76T,77T,79T,80T
2018-01-01 00:00:00,17,,,21.0,30.0,,27.0,31.0,15.0,,31.0,,,,25.0,,,17.0,,23.0,35.0,,16.0,,,,,27.0,20.0,,,,16.0,,,10.0,16.0,11.0,18.0,,,,,,,,,,10.0,25.0,24.0,26.0,10.0
2018-01-02 00:00:00,25,,,26.0,33.0,,30.0,37.0,17.0,,33.0,,,,33.0,,,21.0,,35.0,45.0,,20.0,,27.0,,,28.0,,,,,17.0,,,15.0,20.0,13.0,19.0,,,,,,,,,,15.0,28.0,29.0,31.0,13.0
2018-01-03 00:00:00,34,,,38.0,42.0,,40.0,50.0,22.0,,40.0,,,,38.0,,,35.0,,42.0,60.0,,29.0,,34.0,,,28.0,16.0,,,,19.0,,,10.0,23.0,16.0,18.0,,,,,,,,,,18.0,29.0,32.0,36.0,11.0
2018-01-04 00:00:00,41,,,39.0,45.0,,45.0,53.0,24.0,,51.0,,,,55.0,,,36.0,,49.0,79.0,,37.0,,45.0,,,30.0,21.0,,,,20.0,,,11.0,20.0,11.0,20.0,,,,,,,,,,20.0,32.0,44.0,44.0,12.0
2018-01-05 00:00:00,42,,,51.0,53.0,,51.0,58.0,27.0,,59.0,,,,56.0,,,47.0,,48.0,72.0,,55.0,,64.0,,,23.0,22.0,,,,20.0,,,14.0,36.0,17.0,22.0,,,,,,,,,,20.0,37.0,49.0,47.0,12.0
2018-01-06 00:00:00,46,,,42.0,,,48.0,52.0,25.0,,54.0,,,,60.0,,,61.0,,52.0,49.0,,46.0,,68.0,,,30.0,39.0,,,,22.0,,,13.0,35.0,13.0,20.0,,,,,,,,,,18.0,40.0,49.0,58.0,14.0
2018-01-07 00:00:00,8,,,26.0,,,19.0,20.0,10.0,,15.0,,,,18.0,,,41.0,,16.0,18.0,,17.0,,,,,31.0,40.0,,,,29.0,,,10.0,31.0,9.0,15.0,,,,,,,,,,22.0,34.0,24.0,37.0,12.0
2018-01-08 00:00:00,8,,,10.0,,,16.0,16.0,10.0,,15.0,,,,21.0,,,34.0,,12.0,10.0,,16.0,,,,,26.0,35.0,,,,45.0,,,13.0,35.0,6.0,15.0,,,,,,,,,,28.0,32.0,30.0,22.0,8.0
2018-01-09 00:00:00,8,,,22.0,14.0,,22.0,21.0,14.0,,19.0,,,,17.0,,,46.0,,22.0,12.0,,23.0,,,,,24.0,24.0,,,,26.0,,,9.0,30.0,6.0,19.0,,,,,,,,,,20.0,30.0,40.0,35.0,9.0
2018-01-10 00:00:00,10,,,10.0,9.0,,17.0,21.0,8.0,,21.0,,,,20.0,,,29.0,,26.0,26.0,,18.0,,,,,22.0,23.0,,,,29.0,,,8.0,15.0,10.0,18.0,,,,,,,,,,19.0,25.0,,31.0,8.0
