Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,57T,58T,67T,68T,69T,70T*,70T**,71T,72T,73T,74T,75T,76T,77T,78T,79T,80T,81T
2019-01-01 00:00:00,,15.0,20.0,22.0,,23.0,,25.0,22.0,28.0,27.0,31.0,28.0,23.0,21.0,,15.0,19.0,24.0,18.0,12.0,,14.0,15.0,29.0,,,14.0,,16.0,19.0,16.0,15.0,26.0,27.0,16.0,13.0,7.0,17.0,20.0,19.0,,,24.0,,,19.0,27.0,10.0,14.0,15.0,26.0,19.0,17.0,,12.0,11.0,11.0,,6.0,28.0,18.0,,23.0,14.0,
2019-01-02 00:00:00,,21.0,26.0,21.0,,23.0,,25.0,25.0,30.0,30.0,30.0,34.0,23.0,26.0,,22.0,26.0,28.0,19.0,14.0,,15.0,20.0,32.0,,,20.0,,21.0,21.0,17.0,19.0,21.0,17.0,15.0,14.0,7.0,15.0,24.0,18.0,,,27.0,,,19.0,28.0,10.0,10.0,11.0,27.0,20.0,14.0,,14.0,15.0,11.0,,6.0,25.0,20.0,,35.0,21.0,
2019-01-03 00:00:00,,24.0,26.0,25.0,,24.0,,29.0,28.0,34.0,33.0,35.0,35.0,32.0,37.0,,26.0,29.0,33.0,22.0,21.0,,24.0,19.0,36.0,,,,,25.0,27.0,27.0,25.0,21.0,16.0,15.0,12.0,7.0,15.0,35.0,24.0,,,24.0,,,10.0,15.0,13.0,6.0,11.0,30.0,13.0,13.0,,13.0,17.0,14.0,,8.0,39.0,23.0,,39.0,16.0,
2019-01-04 00:00:00,,27.0,32.0,29.0,,28.0,32.0,33.0,31.0,37.0,39.0,40.0,39.0,33.0,36.0,,30.0,30.0,39.0,27.0,24.0,,34.0,21.0,53.0,48.0,,28.0,,31.0,29.0,26.0,25.0,20.0,16.0,16.0,13.0,9.0,14.0,34.0,16.0,,,30.0,,,9.0,10.0,14.0,4.0,14.0,30.0,18.0,15.0,,19.0,15.0,11.0,,8.0,34.0,24.0,,45.0,10.0,
2019-01-05 00:00:00,,33.0,37.0,36.0,,35.0,39.0,43.0,34.0,46.0,51.0,47.0,48.0,45.0,45.0,,38.0,38.0,43.0,35.0,37.0,,41.0,31.0,55.0,63.0,,41.0,,42.0,37.0,36.0,34.0,22.0,16.0,17.0,15.0,10.0,17.0,49.0,7.0,,,38.0,,,15.0,14.0,15.0,4.0,17.0,28.0,21.0,16.0,,26.0,21.0,12.0,,8.0,29.0,27.0,,48.0,13.0,
2019-01-06 00:00:00,,62.0,61.0,60.0,,63.0,68.0,76.0,51.0,81.0,75.0,91.0,86.0,75.0,64.0,,63.0,62.0,59.0,63.0,47.0,,47.0,36.0,66.0,80.0,,51.0,,42.0,53.0,37.0,42.0,21.0,18.0,17.0,24.0,13.0,22.0,47.0,11.0,,,35.0,,,12.0,13.0,,7.0,15.0,28.0,27.0,16.0,,34.0,15.0,11.0,,8.0,29.0,44.0,,52.0,8.0,
2019-01-07 00:00:00,,65.0,60.0,61.0,,56.0,68.0,69.0,58.0,74.0,71.0,83.0,80.0,68.0,65.0,,60.0,68.0,74.0,57.0,48.0,,62.0,45.0,67.0,76.0,,44.0,,40.0,57.0,50.0,58.0,27.0,22.0,26.0,19.0,16.0,22.0,39.0,7.0,,,36.0,,,16.0,17.0,5.0,9.0,15.0,29.0,22.0,23.0,,39.0,16.0,17.0,,11.0,31.0,49.0,,59.0,9.0,
2019-01-08 00:00:00,,19.0,27.0,28.0,,23.0,23.0,38.0,,23.0,28.0,34.0,32.0,22.0,30.0,,18.0,13.0,28.0,50.0,53.0,,66.0,45.0,35.0,12.0,,25.0,,29.0,28.0,28.0,26.0,23.0,17.0,22.0,16.0,15.0,24.0,53.0,13.0,,,34.0,,,17.0,17.0,7.0,5.0,17.0,24.0,26.0,18.0,,48.0,21.0,12.0,,9.0,31.0,34.0,,52.0,10.0,
2019-01-09 00:00:00,,22.0,26.0,27.0,,24.0,30.0,,,26.0,33.0,43.0,33.0,32.0,35.0,,20.0,14.0,24.0,26.0,27.0,,96.0,32.0,28.0,15.0,,,,,20.0,19.0,16.0,18.0,15.0,14.0,13.0,15.0,17.0,35.0,10.0,,,38.0,,,18.0,18.0,,9.0,14.0,20.0,16.0,15.0,,43.0,19.0,8.0,,7.0,24.0,24.0,,39.0,10.0,
2019-01-10 00:00:00,,37.0,40.0,39.0,,35.0,45.0,56.0,47.0,44.0,46.0,49.0,46.0,44.0,52.0,,32.0,31.0,42.0,45.0,44.0,,78.0,53.0,50.0,36.0,,28.0,,29.0,36.0,30.0,32.0,21.0,20.0,28.0,23.0,24.0,31.0,41.0,12.0,,,40.0,,,16.0,19.0,18.0,7.0,21.0,24.0,25.0,19.0,,45.0,19.0,16.0,,16.0,29.0,47.0,,58.0,9.0,
2019-01-11 00:00:00,,62.0,69.0,64.0,,59.0,87.0,81.0,83.0,81.0,81.0,87.0,76.0,74.0,78.0,,54.0,48.0,62.0,57.0,72.0,,82.0,56.0,66.0,63.0,,55.0,,44.0,47.0,42.0,40.0,23.0,19.0,35.0,31.0,32.0,41.0,57.0,13.0,,,45.0,,,15.0,17.0,18.0,8.0,29.0,30.0,33.0,28.0,,57.0,23.0,18.0,,20.0,35.0,47.0,,71.0,11.0,
2019-01-12 00:00:00,,52.0,52.0,52.0,,53.0,60.0,72.0,62.0,63.0,65.0,68.0,70.0,64.0,73.0,,51.0,50.0,56.0,65.0,70.0,,77.0,58.0,75.0,61.0,,49.0,,43.0,47.0,41.0,39.0,24.0,20.0,39.0,,32.0,40.0,50.0,14.0,,,37.0,,,12.0,18.0,18.0,6.0,27.0,34.0,35.0,27.0,,58.0,27.0,13.0,,20.0,41.0,50.0,,70.0,8.0,
