Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T,78T,79T,80T,81T,82T,83T,84T
2020-01-01 00:00:00,20.0,22.0,18.0,23.0,17.0,20.0,20.0,21.0,22.0,21.0,21.0,23.0,29.0,20.0,32.0,16.0,16.0,35.0,21.0,23.0,18.0,28.0,16.0,25.0,45.0,27.0,18.0,21.0,25.0,22.0,26.0,23.0,20.0,28.0,28.0,23.0,21.0,15.0,18.0,35.0,13.0,8.0,12.0,20.0,15.0,15.0,15.0,15.0,18.0,24.0,21.0,28.0,20.0,22.0,15.0,13.0,20.0,24.0,17.0,35.0,15.0,10.0,38.0,7.0,34.0,,,
2020-01-02 00:00:00,26.0,24.0,20.0,26.0,21.0,24.0,26.0,28.0,27.0,27.0,28.0,30.0,32.0,25.0,28.0,22.0,21.0,38.0,22.0,23.0,20.0,31.0,22.0,26.0,40.0,30.0,34.0,27.0,26.0,26.0,27.0,31.0,25.0,23.0,17.0,17.0,21.0,13.0,19.0,23.0,23.0,15.0,12.0,21.0,19.0,23.0,13.0,13.0,16.0,18.0,15.0,22.0,16.0,19.0,21.0,17.0,19.0,29.0,14.0,32.0,22.0,9.0,29.0,8.0,27.0,,,
2020-01-03 00:00:00,32.0,28.0,24.0,31.0,24.0,27.0,32.0,32.0,29.0,33.0,30.0,36.0,38.0,30.0,33.0,27.0,24.0,41.0,26.0,29.0,32.0,31.0,35.0,34.0,66.0,45.0,34.0,31.0,21.0,32.0,31.0,34.0,24.0,26.0,16.0,23.0,22.0,14.0,24.0,29.0,23.0,9.0,12.0,24.0,24.0,27.0,14.0,12.0,14.0,16.0,16.0,26.0,25.0,18.0,28.0,16.0,24.0,33.0,10.0,33.0,25.0,8.0,43.0,8.0,38.0,,,
2020-01-04 00:00:00,37.0,35.0,31.0,35.0,35.0,34.0,37.0,38.0,39.0,39.0,35.0,44.0,48.0,35.0,43.0,36.0,31.0,51.0,30.0,34.0,46.0,37.0,45.0,44.0,76.0,58.0,41.0,34.0,36.0,36.0,41.0,46.0,37.0,36.0,30.0,42.0,36.0,30.0,37.0,34.0,18.0,9.0,12.0,28.0,27.0,34.0,13.0,17.0,18.0,25.0,20.0,49.0,36.0,28.0,45.0,19.0,27.0,38.0,15.0,33.0,28.0,8.0,51.0,9.0,51.0,,,
2020-01-05 00:00:00,45.0,41.0,33.0,40.0,36.0,38.0,42.0,51.0,44.0,45.0,40.0,46.0,56.0,39.0,53.0,44.0,41.0,58.0,34.0,44.0,47.0,39.0,42.0,48.0,71.0,61.0,49.0,47.0,38.0,44.0,49.0,52.0,45.0,61.0,55.0,51.0,43.0,44.0,50.0,34.0,20.0,9.0,14.0,25.0,28.0,40.0,18.0,19.0,28.0,26.0,21.0,69.0,42.0,37.0,44.0,23.0,37.0,51.0,19.0,40.0,39.0,8.0,56.0,10.0,56.0,,,
2020-01-06 00:00:00,51.0,49.0,39.0,46.0,49.0,40.0,46.0,62.0,50.0,52.0,45.0,52.0,63.0,45.0,66.0,43.0,45.0,62.0,33.0,42.0,52.0,48.0,62.0,55.0,62.0,67.0,57.0,55.0,45.0,53.0,51.0,54.0,41.0,42.0,36.0,59.0,61.0,51.0,59.0,45.0,18.0,16.0,21.0,34.0,35.0,38.0,24.0,25.0,27.0,22.0,28.0,57.0,52.0,43.0,48.0,32.0,40.0,64.0,23.0,41.0,41.0,17.0,71.0,20.0,57.0,,,
2020-01-07 00:00:00,51.0,57.0,39.0,47.0,45.0,38.0,57.0,64.0,52.0,53.0,57.0,64.0,66.0,48.0,71.0,49.0,47.0,72.0,41.0,59.0,58.0,54.0,75.0,63.0,70.0,54.0,61.0,53.0,,49.0,63.0,68.0,54.0,31.0,27.0,64.0,84.0,60.0,72.0,59.0,31.0,28.0,19.0,60.0,46.0,46.0,20.0,22.0,31.0,18.0,39.0,55.0,60.0,50.0,50.0,34.0,33.0,59.0,32.0,41.0,48.0,17.0,72.0,15.0,53.0,,,
2020-01-08 00:00:00,53.0,64.0,47.0,53.0,52.0,49.0,60.0,58.0,55.0,55.0,59.0,63.0,76.0,49.0,59.0,53.0,50.0,76.0,48.0,51.0,61.0,54.0,76.0,57.0,82.0,61.0,58.0,49.0,43.0,55.0,65.0,66.0,59.0,56.0,51.0,73.0,66.0,54.0,61.0,53.0,18.0,12.0,12.0,42.0,39.0,61.0,14.0,15.0,43.0,18.0,36.0,70.0,60.0,59.0,48.0,34.0,48.0,55.0,31.0,54.0,45.0,9.0,83.0,8.0,55.0,,,
2020-01-09 00:00:00,60.0,55.0,47.0,49.0,49.0,47.0,53.0,74.0,56.0,63.0,56.0,70.0,67.0,60.0,81.0,51.0,54.0,68.0,55.0,63.0,57.0,61.0,67.0,56.0,90.0,88.0,53.0,51.0,46.0,51.0,55.0,57.0,53.0,58.0,58.0,64.0,49.0,58.0,55.0,55.0,12.0,7.0,12.0,43.0,40.0,50.0,17.0,16.0,48.0,29.0,33.0,68.0,72.0,56.0,48.0,33.0,50.0,56.0,31.0,53.0,48.0,8.0,71.0,8.0,74.0,,,
2020-01-10 00:00:00,97.0,100.0,63.0,72.0,78.0,70.0,78.0,96.0,82.0,101.0,77.0,102.0,112.0,82.0,94.0,86.0,86.0,108.0,48.0,67.0,60.0,72.0,68.0,59.0,88.0,109.0,51.0,58.0,41.0,66.0,67.0,60.0,59.0,49.0,47.0,64.0,61.0,60.0,65.0,62.0,17.0,13.0,15.0,46.0,44.0,47.0,18.0,21.0,44.0,23.0,44.0,65.0,87.0,57.0,47.0,41.0,44.0,55.0,37.0,50.0,46.0,7.0,82.0,11.0,77.0,,,
