Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,46T,47T,72T(เก่า),72T(ใหม่),82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,42T,43T,44T,62T,63T,78T,80T,89T,93T
2021-01-01 00:00:00,27.0,20.0,22.0,25.0,22.0,20.0,25.0,24.0,25.0,26.0,26.0,28.0,25.0,18.0,19.0,29.0,24.0,22.0,19.0,23.0,28.0,23.0,21.0,16.0,18.0,36.0,11.0,23.0,17.0,19.0,32.0,21.0,25.0,,32.0,14.0,21.0,,,16.0,14.0,16.0,15.0,18.0,18.0,17.0,16.0,15.0,10.0,22.0,16.0,32.0,24.0,25.0,20.0,20.0,27.0,20.0,19.0,24.0,33.0,27.0,22.0,17.0,30.0,27.0,,38.0,,19.0,23.0,20.0,18.0,17.0,7.0,18.0,17.0,
2021-01-02 00:00:00,32.0,25.0,26.0,27.0,27.0,23.0,26.0,29.0,31.0,32.0,33.0,33.0,31.0,25.0,25.0,35.0,28.0,27.0,21.0,28.0,34.0,24.0,30.0,21.0,22.0,37.0,12.0,28.0,21.0,26.0,39.0,25.0,30.0,,57.0,24.0,25.0,,,18.0,16.0,18.0,17.0,19.0,21.0,20.0,22.0,19.0,14.0,25.0,17.0,30.0,26.0,43.0,37.0,24.0,32.0,27.0,23.0,28.0,29.0,33.0,25.0,26.0,31.0,37.0,25.0,44.0,,19.0,24.0,16.0,15.0,19.0,8.0,13.0,17.0,
2021-01-03 00:00:00,46.0,37.0,33.0,41.0,40.0,38.0,29.0,44.0,44.0,44.0,48.0,47.0,44.0,40.0,35.0,53.0,38.0,37.0,32.0,40.0,47.0,34.0,45.0,30.0,28.0,50.0,14.0,40.0,36.0,41.0,54.0,36.0,30.0,,73.0,23.0,24.0,,,29.0,30.0,27.0,29.0,31.0,29.0,27.0,31.0,28.0,17.0,34.0,21.0,36.0,34.0,53.0,33.0,28.0,37.0,38.0,29.0,31.0,28.0,37.0,25.0,28.0,37.0,49.0,33.0,57.0,,22.0,27.0,15.0,15.0,18.0,6.0,12.0,15.0,
2021-01-04 00:00:00,39.0,31.0,32.0,36.0,38.0,36.0,28.0,46.0,41.0,37.0,49.0,55.0,37.0,34.0,31.0,45.0,26.0,32.0,26.0,43.0,49.0,30.0,38.0,21.0,24.0,41.0,15.0,33.0,34.0,35.0,32.0,25.0,28.0,,47.0,15.0,28.0,,,24.0,28.0,25.0,25.0,30.0,22.0,19.0,25.0,23.0,9.0,24.0,19.0,41.0,40.0,46.0,30.0,26.0,34.0,35.0,33.0,34.0,34.0,38.0,26.0,31.0,35.0,46.0,38.0,61.0,,23.0,27.0,12.0,12.0,12.0,3.0,9.0,17.0,
2021-01-05 00:00:00,50.0,31.0,31.0,32.0,44.0,28.0,24.0,67.0,41.0,48.0,35.0,42.0,52.0,46.0,33.0,68.0,32.0,33.0,31.0,49.0,61.0,33.0,37.0,27.0,29.0,42.0,14.0,35.0,32.0,34.0,44.0,42.0,25.0,,48.0,34.0,28.0,,,26.0,24.0,30.0,23.0,28.0,25.0,24.0,28.0,28.0,19.0,28.0,19.0,40.0,45.0,46.0,27.0,35.0,34.0,37.0,38.0,41.0,30.0,33.0,23.0,25.0,32.0,46.0,51.0,51.0,,19.0,27.0,14.0,8.0,13.0,3.0,11.0,14.0,
2021-01-06 00:00:00,57.0,32.0,36.0,36.0,39.0,32.0,25.0,85.0,36.0,53.0,38.0,47.0,42.0,40.0,32.0,53.0,41.0,37.0,39.0,65.0,84.0,42.0,51.0,28.0,30.0,43.0,20.0,33.0,39.0,35.0,35.0,30.0,21.0,,31.0,10.0,19.0,,,29.0,30.0,31.0,30.0,34.0,27.0,28.0,31.0,26.0,22.0,29.0,22.0,36.0,30.0,46.0,24.0,33.0,33.0,36.0,40.0,39.0,29.0,29.0,24.0,28.0,31.0,49.0,46.0,53.0,,17.0,18.0,11.0,15.0,11.0,2.0,6.0,9.0,
2021-01-07 00:00:00,37.0,26.0,30.0,30.0,31.0,25.0,23.0,62.0,32.0,36.0,31.0,38.0,31.0,29.0,31.0,40.0,32.0,28.0,25.0,66.0,83.0,37.0,52.0,23.0,34.0,53.0,17.0,34.0,34.0,32.0,36.0,31.0,19.0,,27.0,18.0,24.0,,,35.0,30.0,33.0,31.0,33.0,25.0,27.0,24.0,23.0,20.0,26.0,14.0,32.0,28.0,47.0,28.0,30.0,31.0,30.0,38.0,39.0,24.0,30.0,23.0,27.0,30.0,41.0,60.0,45.0,,12.0,17.0,11.0,13.0,11.0,3.0,8.0,11.0,
2021-01-08 00:00:00,26.0,21.0,24.0,23.0,24.0,21.0,20.0,26.0,25.0,22.0,25.0,30.0,23.0,22.0,19.0,33.0,28.0,19.0,19.0,29.0,25.0,27.0,30.0,23.0,26.0,45.0,16.0,33.0,19.0,27.0,17.0,18.0,16.0,,33.0,8.0,7.0,,,20.0,23.0,23.0,21.0,24.0,18.0,16.0,19.0,20.0,10.0,22.0,10.0,37.0,32.0,39.0,25.0,24.0,28.0,19.0,35.0,35.0,21.0,29.0,18.0,22.0,27.0,31.0,42.0,24.0,,14.0,17.0,12.0,20.0,15.0,3.0,9.0,15.0,
2021-01-09 00:00:00,23.0,19.0,13.0,20.0,22.0,18.0,18.0,19.0,20.0,21.0,24.0,24.0,20.0,18.0,13.0,31.0,23.0,18.0,20.0,27.0,37.0,23.0,23.0,17.0,17.0,39.0,11.0,20.0,19.0,20.0,25.0,17.0,11.0,,28.0,7.0,9.0,,,17.0,20.0,17.0,17.0,20.0,16.0,19.0,16.0,11.0,9.0,18.0,11.0,36.0,29.0,34.0,22.0,18.0,23.0,18.0,23.0,27.0,23.0,21.0,17.0,20.0,20.0,22.0,30.0,24.0,,17.0,23.0,13.0,17.0,15.0,5.0,10.0,22.0,
2021-01-10 00:00:00,30.0,27.0,20.0,25.0,26.0,25.0,22.0,35.0,27.0,29.0,31.0,33.0,29.0,23.0,21.0,37.0,33.0,27.0,24.0,35.0,53.0,37.0,44.0,22.0,22.0,47.0,14.0,32.0,34.0,28.0,25.0,22.0,13.0,,23.0,11.0,13.0,,,22.0,25.0,26.0,22.0,27.0,26.0,21.0,21.0,22.0,14.0,25.0,14.0,35.0,36.0,37.0,32.0,30.0,31.0,27.0,34.0,26.0,25.0,26.0,20.0,20.0,29.0,30.0,44.0,33.0,,18.0,24.0,16.0,16.0,16.0,5.0,11.0,18.0,
