No.,วันที่,ช่วงเวลา,pm2.5
1.0,2024-07-13,01:00:00,13.4
2.0,2024-07-13,02:00:00,11.8
3.0,2024-07-13,03:00:00,12.5
4.0,2024-07-13,04:00:00,10.6
5.0,2024-07-13,05:00:00,11.5
6.0,2024-07-13,06:00:00,12.2
7.0,2024-07-13,07:00:00,12.1
8.0,2024-07-13,08:00:00,11.1
9.0,2024-07-13,09:00:00,12.5
10.0,2024-07-13,10:00:00,12.4
11.0,2024-07-13,11:00:00,12.1
12.0,2024-07-13,12:00:00,11.1
13.0,2024-07-13,13:00:00,12.1
14.0,2024-07-13,14:00:00,12.9
15.0,2024-07-13,15:00:00,12.9
16.0,2024-07-13,16:00:00,13.2
17.0,2024-07-13,17:00:00,12.7
18.0,2024-07-13,18:00:00,13.5
19.0,2024-07-13,19:00:00,13.9
20.0,2024-07-13,20:00:00,12.7
21.0,2024-07-13,21:00:00,13.1
22.0,2024-07-13,22:00:00,13.9
23.0,2024-07-13,23:00:00,13.1
24.0,2024-07-13,00:00:00,13.9
25.0,2024-07-14,01:00:00,12.2
26.0,2024-07-14,02:00:00,12.6
27.0,2024-07-14,03:00:00,12.2
28.0,2024-07-14,04:00:00,12.6
29.0,2024-07-14,05:00:00,12.7
30.0,2024-07-14,06:00:00,12.3
31.0,2024-07-14,07:00:00,11.2
32.0,2024-07-14,08:00:00,12.6
33.0,2024-07-14,09:00:00,12.5
34.0,2024-07-14,10:00:00,12.3
35.0,2024-07-14,11:00:00,12.7
36.0,2024-07-14,12:00:00,11.7
37.0,2024-07-14,13:00:00,11.3
38.0,2024-07-14,14:00:00,11.5
39.0,2024-07-14,15:00:00,9.8
40.0,2024-07-14,16:00:00,10.8
41.0,2024-07-14,17:00:00,10.9
42.0,2024-07-14,18:00:00,9.3
43.0,2024-07-14,19:00:00,9.5
44.0,2024-07-14,20:00:00,11.1
45.0,2024-07-14,21:00:00,11.5
46.0,2024-07-14,22:00:00,12.3
47.0,2024-07-14,23:00:00,13.2
48.0,2024-07-14,00:00:00,12.3
49.0,2024-07-15,01:00:00,12.8
50.0,2024-07-15,02:00:00,12.3
51.0,2024-07-15,03:00:00,11.7
52.0,2024-07-15,04:00:00,12.4
53.0,2024-07-15,05:00:00,11.8
54.0,2024-07-15,06:00:00,12.1
55.0,2024-07-15,07:00:00,12.8
56.0,2024-07-15,08:00:00,13.1
57.0,2024-07-15,09:00:00,12.8
58.0,2024-07-15,10:00:00,12.3
59.0,2024-07-15,11:00:00,12.6
60.0,2024-07-15,12:00:00,13.2
61.0,2024-07-15,13:00:00,12.3
62.0,2024-07-15,14:00:00,11.4
63.0,2024-07-15,15:00:00,13.2
64.0,2024-07-15,16:00:00,12.6
65.0,2024-07-15,17:00:00,13.8
66.0,2024-07-15,18:00:00,13.1
67.0,2024-07-15,19:00:00,13.5
68.0,2024-07-15,20:00:00,12.7
69.0,2024-07-15,21:00:00,11.4
70.0,2024-07-15,22:00:00,12.2
71.0,2024-07-15,23:00:00,12.5
72.0,2024-07-15,00:00:00,12.8
73.0,2024-07-16,01:00:00,12.7
74.0,2024-07-16,02:00:00,12.2
75.0,2024-07-16,03:00:00,11.8
76.0,2024-07-16,04:00:00,12.1
77.0,2024-07-16,05:00:00,12.8
78.0,2024-07-16,06:00:00,12.2
79.0,2024-07-16,07:00:00,12.5
80.0,2024-07-16,08:00:00,13.1
81.0,2024-07-16,09:00:00,13.3
82.0,2024-07-16,10:00:00,13.1
83.0,2024-07-16,11:00:00,12.2
84.0,2024-07-16,12:00:00,11.9
85.0,2024-07-16,13:00:00,12.5
86.0,2024-07-16,14:00:00,12.6
87.0,2024-07-16,15:00:00,13.4
88.0,2024-07-16,16:00:00,13.9
89.0,2024-07-16,17:00:00,13.8
90.0,2024-07-16,18:00:00,13.3
91.0,2024-07-16,19:00:00,13.6
92.0,2024-07-16,20:00:00,13.3
93.0,2024-07-16,21:00:00,12.1
94.0,2024-07-16,22:00:00,12.8
95.0,2024-07-16,23:00:00,12.5
96.0,2024-07-16,00:00:00,12.9
97.0,2024-07-17,01:00:00,12.1
98.0,2024-07-17,02:00:00,13.1
99.0,2024-07-17,03:00:00,12.8
100.0,2024-07-17,04:00:00,13.3
101.0,2024-07-17,05:00:00,12.8
102.0,2024-07-17,06:00:00,12.2
103.0,2024-07-17,07:00:00,12.6
104.0,2024-07-17,08:00:00,11.9
105.0,2024-07-17,09:00:00,11.9
106.0,2024-07-17,10:00:00,12.1
107.0,2024-07-17,11:00:00,12.3
108.0,2024-07-17,12:00:00,11.7
109.0,2024-07-17,13:00:00,11.1
110.0,2024-07-17,14:00:00,10.5
111.0,2024-07-17,15:00:00,10.6
112.0,2024-07-17,16:00:00,12.1
113.0,2024-07-17,17:00:00,12.3
