DateTime,temperature,wind_speed,air_pressure,humidity,wind_direction,rainfall,PM2.5,PM10,PM0.1,PM0.1-0.5,PM0.5-1.0,PM1.0-2.5,PM2.5-10,PM>10,PM1,PM2.5_NanoSampler
2016-01-01,28.2875,4.625,1013.08,72.375,36.25,0.4,,45.0,,,,,,,,
2016-01-02,28.1125,4.875,1013.395,74.625,87.5,0.0,,38.0,,,,,,,,
2016-01-03,27.325,2.5,1013.04625,82.25,61.25,0.0,,55.0,,,,,,,,
2016-01-04,27.6125,3.25,1012.74375,81.5,63.75,0.0,,50.0,,,,,,,,
2016-01-05,27.975,1.625,1011.77,80.875,22.5,0.0,,41.0,,,,,,,,
2016-01-06,28.45,2.875,1012.08375,79.5,118.75,0.0,,34.0,,,,,,,,
2016-01-07,28.275,3.875,1012.4675,77.875,75.0,0.0,,35.0,,,,,,,,
2016-01-08,27.625,1.5,1011.70125,81.75,18.75,0.0,,38.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144
2016-01-09,28.0375,2.5,1011.5125,78.25,73.75,0.0,,40.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144
2016-01-10,28.375,5.375,1011.4225,76.5,75.0,0.0,,38.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144
2016-01-11,27.7625,2.75,1011.355,81.625,73.75,0.0,20.0,40.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144
2016-01-12,27.45,2.25,1010.2887499999999,80.25,30.0,0.0,,43.0,,,,,,,,
2016-01-13,28.225,4.375,1009.77125,77.75,37.5,28.2,,35.0,,,,,,,,
2016-01-14,27.3125,1.625,1009.38375,85.875,17.5,0.6,,24.0,,,,,,,,
2016-01-15,28.4,2.5,1008.045,79.5,33.75,87.6,,25.0,,,,,,,,
2016-01-16,26.55,1.375,1008.78,89.75,31.25,71.0,,26.0,,,,,,,,
2016-01-17,27.45,1.875,1008.8125,86.125,98.75,4.2,13.0,29.0,,,,,,,,
